Input State,Input size,Selection sort,Insertion sort,Shaker sort,Shell sort,Quick sort,Merge sort,Heap sort,Radix sort,Interchange sort,Binary Insertion sort
Random,1000,0.004,0.002,0.022,0,0.002,0.003,0.001,0,0.013,0.001
Random,5000,0.049,0.022,0.219,0.001,0.005,0.012,0.008,0.002,0.291,0.029
Random,10000,0.165,0.128,0.855,0.004,0.014,0.019,0.014,0.002,0.862,0.076
Random,50000,3.516,1.944,25.076,0.027,0.071,0.096,0.058,0.016,22.535,1.38
Random,100000,21.32,11.64,119.23,0.059,0.145,0.137,0.133,0.033,52.781,4.741
Random,250000,95.752,44.249,485.327,0.117,0.251,0.303,0.268,0.053,415.016,60.474
Sorted,1000,0.005,0,0.004,0,0.001,0.003,0.002,0.001,0.005,0.001
Sorted,5000,0.065,0,0.063,0.001,0.003,0.007,0.008,0.002,0.091,0.003
Sorted,10000,0.152,0.001,0.14,0.001,0.008,0.019,0.014,0.005,0.169,0.006
Sorted,50000,3.79,0.001,3.95,0.006,0.043,0.055,0.129,0.011,6.14,0.022
Sorted,100000,22.875,0.001,18.502,0.013,0.058,0.159,0.146,0.032,13.935,0.064
Sorted,250000,73.506,0.001,53.906,0.014,0.107,0.183,0.193,0.034,73.441,0.081
NearlySorted,1000,0.001,0,0.005,0,0,0.001,0,0,0.006,0.001
NearlySorted,5000,0.029,0.012,0.12,0.001,0.003,0.004,0.003,0.001,0.136,0.009
NearlySorted,10000,0.119,0.047,0.493,0.002,0.014,0.008,0.006,0.001,0.544,0.034
NearlySorted,50000,2.951,1.14,22.559,0.026,0.14,0.091,0.082,0.016,26.605,1.845
NearlySorted,100000,28.377,10.956,119.281,0.056,0.462,0.2,0.195,0.032,82.332,7.291
NearlySorted,250000,176.868,68.711,744.561,0.144,0.477,0.462,0.483,0.081,309.643,45.445
Reversed,1000,0.003,0.004,0.033,0,0,0.002,0.002,0.001,0.025,0.002
Reversed,5000,0.044,0.073,0.36,0,0.003,0.009,0.006,0.001,0.398,0.051
Reversed,10000,0.167,0.206,1.393,0.001,0.009,0.01,0.013,0.003,1.317,0.158
Reversed,50000,5.977,3.61,31.275,0.01,0.047,0.073,0.065,0.016,23.943,2.5
Reversed,100000,20.824,14.047,124.148,0.02,0.098,0.179,0.135,0.023,70.32,9.733
Reversed,250000,102.464,86.792,998.144,0.049,0.263,0.443,0.43,0.081,453.381,100.361
